,category,Cleaned_name,item_sum,pay_num,order_num,percent,category_short
54,PPE019 Surface sanitizers and disinfectants,Sa police service,96009447,35516140,35516140.0,0.3699233888931784, Surface sanitizers and disinfectants
52,PPE019 Surface sanitizers and disinfectants,Ethekwini municipality,96009447,6985101,34095912.36,0.07275430927125327, Surface sanitizers and disinfectants
82,Visor / Face Shield,Other_departments,82657795,39411733,38493742.65,0.47680600480571733,Visor / Face Shield
80,Visor / Face Shield,Kwazulu natal - education,82657795,25464308,26000322.3,0.3080690453937224,Visor / Face Shield
81,Visor / Face Shield,Mpumalanga - health,82657795,8995504,11962019.4,0.10882825993604112,Visor / Face Shield
79,Visor / Face Shield,Gauteng - health,82657795,8786250,400750.0,0.10629668986451914,Visor / Face Shield
65,Renovation,Gauteng - health,80309529,80309529,0.0,1.0,Renovation
90,dispenser,Kwazulu natal - education,54772414,40314946,68264911.0,0.7360447176931073,dispenser
91,dispenser,Other_departments,54772414,13563150,18079425.91,0.24762739140911336,dispenser
92,dispenser,Public works,54772414,894318,1647552.4,0.01632789089777931,dispenser
11,Human resources-services,Kwazulu natal - public works (head office),41241842,24462673,24462673.09,0.5931518044223146,Human resources-services
14,Human resources-services,Western cape - health,41241842,8343568,7892740.4,0.20230832560776504,Human resources-services
12,Human resources-services,Other_departments,41241842,6731986,10631522.0,0.1632319429379512,Human resources-services
13,Human resources-services,Public works,41241842,1703615,2584127.55,0.04130792703196914,Human resources-services
68,Telecommunication,Other_departments,36939399,20220029,38226252.839999996,0.5473838109818734,Telecommunication
67,Telecommunication,Mpumalanga - health,36939399,10832876,10832875.530000001,0.2932607539175177,Telecommunication
66,Telecommunication,Department of health,36939399,5886494,5891563.06,0.15935543510060898,Telecommunication
76,Uncategorized sanitisers,Defence,35686845,19315404,19315404.03,0.5412471738535587,Uncategorized sanitisers
78,Uncategorized sanitisers,Other_departments,35686845,9895738,10373251.27,0.2772937198567147,Uncategorized sanitisers
77,Uncategorized sanitisers,Justice & constitutional development,35686845,6000646,6000638.83,0.1681472822828692,Uncategorized sanitisers
85,cleaning services,Public works,32474969,25814543,26305167.64,0.7949058550294537,cleaning services
83,cleaning services,Justice & constitutional development,32474969,4259470,4259459.66,0.13116163405729503,cleaning services
84,cleaning services,Other_departments,32474969,2400956,5355927.3100000005,0.07393251091325137,cleaning services
27,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning,Other_departments,31327277,19552323,26982262.909999996,0.6241309450546882,other fumigation/disinfecting/sanitizing
26,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning,Justice & constitutional development,31327277,5907002,5906973.17,0.18855778623849115,other fumigation/disinfecting/sanitizing
28,Other fumigation/disinfecting/decontamination/sanitizing/fogging/deep cleaning,Public works,31327277,5867952,6127702.91,0.18731126870682058,other fumigation/disinfecting/sanitizing
64,PPE025 Sanitising spray bottles,Other_departments,30858988,22530628,43622491.74,0.730115582533037, Sanitising spray bottles
63,PPE025 Sanitising spray bottles,Kwazulu natal - education,30858988,8328360,10038651.5,0.26988441746696296, Sanitising spray bottles
42,PPE005 Eye protection - Goggles,Other_departments,30087213,12249713,9078061.69,0.40714016947997145, Eye protection - Goggles
41,PPE005 Eye protection - Goggles,Dbsa,30087213,11600000,1157156.25,0.385545846336781, Eye protection - Goggles
43,PPE005 Eye protection - Goggles,Sa police service,30087213,6237500,6321080.0,0.20731398418324753, Eye protection - Goggles
6,Apron,Other_departments,22579597,10019209,13623934.37,0.4437284243824192,Apron
5,Apron,Kwazulu natal - education,22579597,9028000,9472000.0,0.39982998810829085,Apron
7,Apron,Western cape - health,22579597,1791058,1791057.5,0.079321964869435,Apron
4,Apron,All wcg departments,22579597,1741330,613868.72,0.0771196226398549,Apron
